Country,GDP,quarter
Argentina,"446,279.00",2018Q1
Argentina,"473,042.00",2018Q2
Argentina,"475,734.00",2018Q3
Argentina,"500,260.00",2018Q4
Argentina,"470,687.00",2019Q1
Argentina,"499,547.00",2019Q2
Argentina,"502,859.00",2019Q3
Argentina,"521,907.00",2019Q4
Argentina,"486,352.00",2020Q1
Argentina,"469,747.00",2020Q2
Argentina,"485,385.00",2020Q3
Argentina,"527,416.00",2020Q4
Argentina,"506,542.00",2021Q1
Argentina,"548,944.00",2021Q2
Argentina,"538,718.00",2021Q3
Argentina,"580,087.00",2021Q4
Argentina,"502,094.13",2022Q1
Australia,"446,279.00",2018Q1
Australia,"473,042.00",2018Q2
Australia,"475,734.00",2018Q3
Australia,"500,260.00",2018Q4
Australia,"470,687.00",2019Q1
Australia,"499,547.00",2019Q2
Australia,"502,859.00",2019Q3
Australia,"521,907.00",2019Q4
Australia,"486,352.00",2020Q1
Australia,"469,747.00",2020Q2
Australia,"485,385.00",2020Q3
Australia,"527,416.00",2020Q4
Australia,"506,542.00",2021Q1
Australia,"548,944.00",2021Q2
Australia,"538,718.00",2021Q3
Australia,"580,087.00",2021Q4
Australia,"502,094.13",2022Q1
Austria,"92,928.45",2018Q1
Austria,"95,513.10",2018Q2
Austria,"95,439.12",2018Q3
Austria,"101,543.29",2018Q4
Austria,"96,163.74",2019Q1
Austria,"98,607.91",2019Q2
Austria,"98,908.16",2019Q3
Austria,"103,838.72",2019Q4
Austria,"94,599.58",2020Q1
Austria,"88,125.97",2020Q2
Austria,"96,699.06",2020Q3
Austria,"99,895.95",2020Q4
Austria,"91,623.91",2021Q1
Austria,"100,344.70",2021Q2
Austria,"103,928.12",2021Q3
Austria,"107,473.69",2021Q4
Austria,"97,852.09",2022Q1
Belarus,"26,766.10",2018Q1
Belarus,"29,341.80",2018Q2
Belarus,"33,127.30",2018Q3
Belarus,"33,084.50",2018Q4
Belarus,"29,566.30",2019Q1
Belarus,"32,163.00",2019Q2
Belarus,"36,871.90",2019Q3
Belarus,"36,130.90",2019Q4
Belarus,"33,002.50",2020Q1
Belarus,"34,398.00",2020Q2
Belarus,"40,886.00",2020Q3
Belarus,"41,434.30",2020Q4
Belarus,"37,050.90",2021Q1
Belarus,"41,413.80",2021Q2
Belarus,"47,030.50",2021Q3
Belarus,"35,484.52",2021Q4
Belarus,"35,484.52",2022Q1
Belgium,"110,214.00",2018Q1
Belgium,"116,000.00",2018Q2
Belgium,"111,183.00",2018Q3
Belgium,"122,694.00",2018Q4
Belgium,"114,813.00",2019Q1
Belgium,"120,177.00",2019Q2
Belgium,"116,094.00",2019Q3
Belgium,"127,156.00",2019Q4
Belgium,"115,366.00",2020Q1
Belgium,"104,684.00",2020Q2
Belgium,"113,067.00",2020Q3
Belgium,"123,615.00",2020Q4
Belgium,"118,397.00",2021Q1
Belgium,"125,939.00",2021Q2
Belgium,"124,768.00",2021Q3
Belgium,"138,090.00",2021Q4
Belgium,"118,891.06",2022Q1
Bosnia and Herzegovina,"7,598.60",2018Q1
Bosnia and Herzegovina,"8,254.23",2018Q2
Bosnia and Herzegovina,"8,934.09",2018Q3
Bosnia and Herzegovina,"8,657.16",2018Q4
Bosnia and Herzegovina,"7,984.65",2019Q1
Bosnia and Herzegovina,"8,718.11",2019Q2
Bosnia and Herzegovina,"9,457.33",2019Q3
Bosnia and Herzegovina,"9,135.67",2019Q4
Bosnia and Herzegovina,"8,369.13",2020Q1
Bosnia and Herzegovina,"8,043.78",2020Q2
Bosnia and Herzegovina,"8,992.81",2020Q3
Bosnia and Herzegovina,"8,849.24",2020Q4
Bosnia and Herzegovina,"8,545.18",2021Q1
Bosnia and Herzegovina,"9,058.50",2021Q2
Bosnia and Herzegovina,"9,877.21",2021Q3
Bosnia and Herzegovina,"9,843.50",2021Q4
Bosnia and Herzegovina,"8,769.95",2022Q1
Brazil,"1,681,578.70",2018Q1
Brazil,"1,733,662.90",2018Q2
Brazil,"1,767,873.70",2018Q3
Brazil,"1,821,025.60",2018Q4
Brazil,"1,759,312.60",2019Q1
Brazil,"1,828,764.20",2019Q2
Brazil,"1,880,631.90",2019Q3
Brazil,"1,920,422.40",2019Q4
Brazil,"1,845,561.50",2020Q1
Brazil,"1,722,448.40",2020Q2
Brazil,"1,888,242.20",2020Q3
Brazil,"2,011,364.40",2020Q4
Brazil,"2,065,954.70",2021Q1
Brazil,"2,140,602.80",2021Q2
Brazil,"2,215,184.60",2021Q3
Brazil,"2,257,747.40",2021Q4
Brazil,"1,908,773.63",2022Q1
Bulgaria,"22,173.77",2018Q1
Bulgaria,"26,879.26",2018Q2
Bulgaria,"30,486.43",2018Q3
Bulgaria,"30,424.73",2018Q4
Bulgaria,"25,280.71",2019Q1
Bulgaria,"29,848.68",2019Q2
Bulgaria,"31,972.40",2019Q3
Bulgaria,"33,293.45",2019Q4
Bulgaria,"25,842.83",2020Q1
Bulgaria,"27,699.94",2020Q2
Bulgaria,"32,624.03",2020Q3
Bulgaria,"33,784.29",2020Q4
Bulgaria,"27,015.16",2021Q1
Bulgaria,"31,178.08",2021Q2
Bulgaria,"36,133.07",2021Q3
Bulgaria,"38,417.98",2021Q4
Bulgaria,"30,190.92",2022Q1
Canada,"522,856.00",2018Q1
Canada,"548,913.00",2018Q2
Canada,"588,247.00",2018Q3
Canada,"571,152.00",2018Q4
Canada,"539,597.00",2019Q1
Canada,"568,622.00",2019Q2
Canada,"603,492.00",2019Q3
Canada,"599,001.00",2019Q4
Canada,"541,989.00",2020Q1
Canada,"489,101.00",2020Q2
Canada,"582,406.00",2020Q3
Canada,"591,409.00",2020Q4
Canada,"571,232.00",2021Q1
Canada,"606,275.00",2021Q2
Canada,"566,020.86",2021Q3
Canada,"566,020.86",2021Q4
Canada,"566,020.86",2022Q1
Chile,"46,979,023.00",2018Q1
Chile,"46,997,102.10",2018Q2
Chile,"45,038,277.90",2018Q3
Chile,"50,420,464.40",2018Q4
